"y","x1","x2","x3","x4","x5"
1,1.327,-1.322,-1.214,-0.5412,-2.105
0,0.2951,NA,0.06646,-0.1141,0.3851
0,-0.8025,-1.184,-0.1334,-0.5479,1.024
0,NA,0.7305,-0.3029,-0.4965,1.14
0,-2.818,-0.5787,0.04073,-0.5869,NA
1,-0.01159,0.3379,1.376,-1.601,0.4845
0,-0.7033,NA,0.3408,-0.5534,-0.6508
1,-0.5868,0.7576,0.2658,-0.9943,-1.352
0,-2.727,1.086,-0.9908,-0.3498,-1.078
0,-0.61,-0.1292,0.7606,0.3824,0.4996
0,-1.228,-0.4842,NA,-0.9519,-1.167
0,-0.8957,-1.841,-1.67,-0.1725,NA
0,NA,-0.1783,-1.025,0.4667,2.204
0,0.8007,-0.9047,1.129,1.115,0.2727
0,0.3833,0.6598,0.7733,-0.601,0.9026
1,-0.9273,0.5471,1.492,-0.3525,-1.962
1,0.816,NA,-1.509,-1.453,-1.161
0,0.5118,NA,0.9171,0.723,-0.8983
0,1.464,0.2071,-0.1343,1.058,0.4914
1,-0.0775,-1.385,NA,-0.7966,-1.713
1,1.308,-2.456,-1.508,NA,0.03067
0,0.9272,1.049,1.103,2.729,-0.1791
0,0.6566,-0.1936,0.8299,0.7221,-0.8944
0,-2.366,-0.8905,-0.1985,-0.677,0.002898
1,-1.491,1.202,1.693,-0.4506,0.03853
0,1.62,-0.1958,-0.225,-0.1862,NA
0,-1.947,-0.5955,-0.7093,-0.5277,0.7041
1,0.1935,NA,1.154,-0.7929,-1.296
0,-0.2179,-1.31,0.4853,1.006,NA
0,0.6685,0.7857,1.098,NA,-0.7495
0,0.5654,0.2167,0.4097,-0.4604,-0.6891
0,1.002,1.054,-1.296,NA,-0.1441
0,0.09243,-0.3031,0.07124,-1.653,2.661
0,2.405,0.09583,-0.3049,0.3314,0.6371
0,-0.7999,0.3948,0.6246,0.5043,0.193
1,0.2142,0.9764,-1.147,0.51,-0.2902
1,0.2591,-0.6857,2.03,-0.6513,NA
0,0.5969,-1.517,1.294,-0.2146,1.637
0,-0.845,-0.4198,-0.04964,1.21,-0.5639
1,NA,0.02636,0.7759,0.3731,-0.4093
1,0.7424,-0.08587,1.331,-0.4223,-0.4712
0,-0.6078,-0.1185,-1.649,NA,-0.1405
1,-0.5848,-1.026,-1.244,-2.152,-2.415
0,-0.9381,-0.2929,1.111,NA,-1.183
1,0.6389,0.00684,-0.6515,0.3169,-0.3669
0,-0.8623,-1.333,-0.5078,NA,-0.02658
0,NA,0.8284,-1.204,-0.3057,-0.989
1,1.981,-1.527,1.042,-0.9188,-0.1965
0,-1.996,-0.4681,0.6153,0.6387,NA
0,-1.184,-0.02765,-0.1767,0.7699,-1.074
0,-1.46,-1.08,-1.081,-0.9548,-0.05951
0,-0.1685,-1.543,-0.8189,-1.181,-0.6114
1,-0.05823,1.881,0.7432,NA,-0.3899
0,-0.8669,0.7926,NA,-0.8194,1.328
0,0.2811,-1.219,0.904,0.6361,-1.271
1,1.257,-0.3071,0.7936,-1.345,0.6691
1,2.01,-0.7548,-0.06476,-0.527,NA
0,0.3772,0.3383,-0.508,0.01434,1.608
1,NA,-0.6078,2.087,-1.388,-1.631
1,0.06373,1.42,0.1511,0.2808,-0.4633
1,1.663,-1.619,-0.6603,0.5968,-1.084
0,-0.5291,-0.7583,-1.552,0.7107,-0.4482
0,-0.1981,-0.3604,-0.0004903,-0.2577,-1.08
0,-0.6908,-0.475,1.45,0.2749,0.01835
1,NA,-2.687,-0.45,0.2602,-1.614
1,0.3874,1.651,-0.5179,0.9127,-0.2373
1,-0.6524,-1.673,-0.1858,-0.1036,NA
1,-0.2342,0.3025,0.916,-0.9482,0.3265
0,-0.7126,0.5268,NA,1.561,-0.06143
0,-0.321,-0.18,-1.671,NA,1.08
1,0.4975,-0.451,-0.74,0.1629,-0.5198
0,-0.7355,-1.466,-0.102,-1.216,0.9503
1,0.6312,0.8599,NA,-0.3696,-2.082
0,-1.508,-1.399,-0.7424,0.06058,0.4382
0,-1.012,-0.5306,1.689,0.5048,-0.1519
1,-1.386,NA,0.7996,1.939,0.3143
0,NA,-0.664,0.4783,-1.962,-0.8302
0,NA,-1.817,-1.647,1.617,-0.1105
0,-0.4572,0.7058,NA,-0.03069,0.3826
0,-0.2226,-1.237,0.2628,NA,0.2567
