y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
54,3.211655619,-1.257752551,12.73332547,-11.28565001,-10.50013692,9.613811974,6.028075869,14.64919226,2.38929183,2.002645926,3.947632497,4.461369624,-0.784534145
59,3.27373726,-0.346076557,11.84611095,-9.890051079,-10.00005671,10.69312137,4.842437536,13.62988543,3.277651059,2.290039636,4.398361878,4.057959979,-2.323224442
52,3.454410767,-1.183826961,11.77625082,-10.25617889,-11.057594,9.616145336,4.279659155,14.40959774,2.54325246,2.505273874,4.248113863,3.760252661,-1.762664424
70,2.919681184,-1.077727652,12.4013165,-10.99277385,-10.51453129,10.0570115,5.647752195,14.7276934,2.697277407,2.337961859,4.561299888,4.337465092,-1.0262915
53,2.57786145,-0.533031122,11.89612036,-11.02577366,-10.40700249,10.38043493,5.322402256,14.72407151,2.956517904,2.654353281,4.554978802,4.473200604,-1.784804843
53,3.327250791,-1.327537629,12.39046134,-11.01947965,-10.3900698,9.702044954,5.375965651,14.26814674,2.783895407,2.4405829,4.491778188,4.419437315,-1.04070474
35,3.733338437,-1.586875683,12.54824863,-11.01681495,-10.58479656,9.658736348,5.110518254,14.8442119,2.540186204,2.312979106,4.464824345,3.997924178,-0.866494495
42,2.993350375,-1.382914337,12.7928531,-10.91812834,-9.83827338,9.83549276,5.434022437,14.98557558,2.946705316,1.812593603,4.907220222,4.411732287,-1.031824628
55,3.15032283,-1.987711713,12.3304798,-10.74120787,-10.71406357,9.565098842,5.02093392,14.34779819,2.880811124,2.192234696,3.76674732,4.200060367,-1.556469972
47,2.786440714,-1.259686679,11.85974259,-11.17431096,-10.29108483,10.04646578,5.292466738,14.89449009,2.53829978,2.174017396,4.220429947,4.457445363,-1.417098154
51,2.922648701,-1.224932164,13.1234066,-9.400304147,-9.797008759,9.398029851,4.800723982,14.99122688,3.067703591,2.34600686,4.511266992,4.399819535,-1.161630572
39,3.3625762,-0.930930755,12.00066006,-10.94721778,-10.9598828,10.19002698,5.660071704,14.11324922,2.762138005,3.005765056,3.748958549,3.807028199,-1.06498338
37,3.285571514,-1.014474753,12.14657014,-10.95286435,-9.728725509,9.797574327,5.485989276,15.26354173,2.560178384,1.947360605,4.341053385,4.263613704,-1.252048281
29,3.28148663,-1.084851762,12.98267893,-10.82144992,-10.57171666,10.11804648,5.237602855,14.46240893,2.936854268,2.553749173,4.415120348,4.564529363,-1.090238257
49,3.03007592,-0.961674656,12.28880959,-11.37532508,-9.927990831,10.08566822,5.405490525,14.81310018,2.615988903,2.296566293,4.596958581,4.253154755,-1.122186934
48,3.338575645,-1.293749714,12.87443857,-11.22199134,-10.42276115,9.742423851,5.4671007,14.77155339,2.916371373,2.243609607,4.443378916,4.541530888,-0.490960496
54,2.715062726,-1.450117377,12.16801598,-9.677544903,-10.32645076,10.2876035,4.344017433,13.87205629,2.998968749,2.088583062,4.21836848,4.139805019,-2.407772497
45,3.704090236,-1.35983376,12.87329747,-11.36178359,-9.90653345,9.3621851,5.096408544,15.1174939,2.493798309,1.491259514,4.460898769,4.223249633,-0.298666038
54,3.427550744,-1.191926437,12.93987335,-10.34128379,-10.0958624,9.611531056,4.728020451,14.28246732,2.566539285,1.731166291,4.293461665,3.873086785,-1.266504592
52,3.100260467,-0.887463283,12.96625808,-11.10562612,-9.863018851,9.319721273,6.076970869,15.06797512,2.58307204,2.132391803,4.319312192,4.478614308,-0.724914086
43,2.983999489,-1.936488769,13.18150122,-9.018369199,-10.03347732,9.811119661,4.800172014,14.23456617,3.048465437,2.176555659,4.648439389,4.080701858,-1.921613798
54,3.591631584,-1.496470069,12.23911401,-11.05466352,-10.4004757,9.848193807,5.067789785,14.49138316,2.319729663,1.952662559,3.961577541,3.86742883,-1.400635304
37,3.157413069,-0.265645333,12.39068637,-12.39605979,-10.49095828,9.98967562,5.906764518,15.50870396,2.511979328,2.483223391,5.001560643,4.431590846,0.212307101
